Campaign_ID,Date,Channel,Campaign_Type,Target_Audience,Location,Impressions,Clicks,Conversions,CTR_Pct,CVR_Pct,Spend,Revenue,CPC,ROAS
CAMP-0001,2023-04-25,Google Search,Brand Awareness,35-44,Delhi,7286,506,46,6.9459,9.2218,19039.74,70777.32,37.63,3.7173
CAMP-0002,2023-04-22,YouTube,Brand Awareness,18-24,Mumbai,35247,354,2,1.0054,0.8425,2473.89,6122.45,6.99,2.4748
CAMP-0003,2023-10-29,LinkedIn,Conversion,25-34,Hyderabad,5278,233,9,4.4283,3.9338,14500.24,56496.98,62.23,3.8963
CAMP-0004,2023-06-22,Email,Retargeting,25-34,Delhi,2837,374,43,13.2057,11.6573,2649.78,18048.12,7.08,6.8112
CAMP-0005,2023-07-13,Google Search,Conversion,55+,Mumbai,6291,390,24,6.2082,6.4029,12326.9,69699.59,31.61,5.6543
CAMP-0006,2023-12-05,LinkedIn,Lead Generation,18-24,Mumbai,4866,210,11,4.3192,5.5527,13484.67,57080.17,64.21,4.233
CAMP-0007,2023-07-06,YouTube,Retargeting,45-54,Pune,30659,266,3,0.8702,1.2771,2040.16,5926.63,7.67,2.905
CAMP-0008,2023-05-06,Google Search,Lead Generation,55+,Pune,7677,449,19,5.849,4.4448,17223.01,89911.09,38.36,5.2204
CAMP-0009,2023-01-17,Meta Ads,Retargeting,18-24,Delhi,35673,642,11,1.8023,1.7589,12170.8,33642.6,18.96,2.7642
CAMP-0010,2023-11-26,Email,Lead Generation,45-54,Hyderabad,5758,797,67,13.8573,8.4567,5156.54,34120.47,6.47,6.6169
CAMP-0011,2023-07-05,LinkedIn,Conversion,55+,Hyderabad,4796,239,5,4.992,2.4873,11888.01,47689.52,49.74,4.0116
CAMP-0012,2023-12-15,Google Search,Lead Generation,25-34,Kolkata,11916,760,68,6.3856,9.001,23643.25,110416.93,31.11,4.6701
CAMP-0013,2023-10-02,Email,Brand Awareness,18-24,Pune,4185,920,83,21.9918,9.1214,3460.12,18942.33,3.76,5.4745
CAMP-0014,2023-04-02,Google Search,Retargeting,55+,Kolkata,13317,1018,66,7.6505,6.5468,25007.97,127474.97,24.57,5.0974
CAMP-0015,2023-03-24,LinkedIn,Lead Generation,25-34,Bangalore,7418,360,31,4.8605,8.6967,24026.31,88846.63,66.74,3.6979
CAMP-0016,2023-06-07,YouTube,Brand Awareness,18-24,Bangalore,35692,199,4,0.5579,2.2048,2879.43,4689.09,14.47,1.6285
CAMP-0017,2023-03-06,YouTube,Brand Awareness,55+,Kolkata,28414,329,6,1.1598,2.0256,2188.27,5014.44,6.65,2.2915
CAMP-0018,2023-12-20,LinkedIn,Conversion,25-34,Chennai,4647,192,11,4.1388,5.9748,10918.56,35450.83,56.87,3.2468
CAMP-0019,2023-04-26,LinkedIn,Conversion,18-24,Delhi,3524,106,4,3.0143,4.2826,4155.69,12219.54,39.2,2.9404
CAMP-0020,2023-01-17,Google Search,Brand Awareness,25-34,Mumbai,10413,446,35,4.2834,8.047,14592.01,58887.4,32.72,4.0356
CAMP-0021,2023-08-31,Meta Ads,Conversion,25-34,Kolkata,41677,575,17,1.3808,2.978,7574.25,19087.74,13.17,2.5201
CAMP-0022,2023-07-26,YouTube,Brand Awareness,18-24,Mumbai,67724,568,12,0.8393,2.1787,4252.37,7591.81,7.49,1.7853
CAMP-0023,2023-05-23,YouTube,Lead Generation,45-54,Delhi,50318,377,9,0.7498,2.5619,3555.6,9927.32,9.43,2.792
CAMP-0024,2023-10-04,LinkedIn,Brand Awareness,18-24,Pune,9848,201,5,2.0443,2.6984,12088.67,35936.7,60.14,2.9728
CAMP-0025,2023-07-25,YouTube,Conversion,45-54,Delhi,79142,442,6,0.5586,1.5822,6565.07,12459.22,14.85,1.8978
CAMP-0026,2023-10-12,YouTube,Retargeting,45-54,Pune,63376,772,9,1.2184,1.1786,6150.58,18163.06,7.97,2.9531
CAMP-0027,2023-01-26,LinkedIn,Brand Awareness,35-44,Mumbai,7785,267,19,3.4304,7.3453,13682.43,35762.58,51.25,2.6138
CAMP-0028,2023-11-01,LinkedIn,Brand Awareness,25-34,Mumbai,3556,143,7,4.0256,5.1231,4975.75,21299.07,34.8,4.2806
CAMP-0029,2023-08-03,Meta Ads,Brand Awareness,55+,Mumbai,49261,804,15,1.6327,1.9476,12893.52,30094.93,16.04,2.3341
CAMP-0030,2023-11-27,Email,Conversion,25-34,Pune,4457,799,179,17.9439,22.4772,6083.91,30589.57,7.61,5.0279
CAMP-0031,2023-04-20,LinkedIn,Brand Awareness,18-24,Chennai,7144,199,10,2.7956,5.3864,12981.68,55283.01,65.23,4.2585
CAMP-0032,2023-10-06,Email,Retargeting,25-34,Hyderabad,7763,1236,286,15.9327,23.1901,8457.45,55707.72,6.84,6.5868
CAMP-0033,2023-05-16,LinkedIn,Retargeting,18-24,Delhi,3945,184,8,4.6691,4.7757,6664.1,20415.55,36.22,3.0635
